PERMNO,date,TICKER,PRC
89757,10/06/2003,KMRT,19.60000
89757,11/06/2003,KMRT,19.25100
89757,12/06/2003,KMRT,18.56000
89757,13/06/2003,KMRT,18.50000
89757,16/06/2003,KMRT,22.50200
89757,17/06/2003,KMRT,21.77000
89757,18/06/2003,KMRT,21.80000
89757,19/06/2003,KMRT,22.94000
89757,20/06/2003,KMRT,25.20000
89757,23/06/2003,KMRT,26.26000
89757,24/06/2003,KMRT,24.91000
89757,25/06/2003,KMRT,25.65000
89757,26/06/2003,KMRT,25.03000
89757,27/06/2003,KMRT,25.64000
89757,30/06/2003,KMRT,26.90000
89757,01/07/2003,KMRT,25.95000
89757,02/07/2003,KMRT,26.64000
89757,03/07/2003,KMRT,25.73000
89757,07/07/2003,KMRT,25.82000
89757,08/07/2003,KMRT,25.96000
89757,09/07/2003,KMRT,25.58000
89757,10/07/2003,KMRT,25.20000
89757,11/07/2003,KMRT,24.20000
89757,14/07/2003,KMRT,24.60000
89757,15/07/2003,KMRT,24.45000
89757,16/07/2003,KMRT,24.70000
89757,17/07/2003,KMRT,24.12000
89757,18/07/2003,KMRT,24.25000
89757,21/07/2003,KMRT,23.96000
89757,22/07/2003,KMRT,24.25000
89757,23/07/2003,KMRT,23.87000
89757,24/07/2003,KMRT,22.85000
89757,25/07/2003,KMRT,23.17000
89757,28/07/2003,KMRT,22.85000
89757,29/07/2003,KMRT,23.15000
89757,30/07/2003,KMRT,22.46000
89757,31/07/2003,KMRT,23.40000
89757,01/08/2003,KMRT,23.35000
89757,04/08/2003,KMRT,23.46000
89757,05/08/2003,KMRT,23.59000
89757,06/08/2003,KMRT,23.62000
89757,07/08/2003,KMRT,24.27000
89757,08/08/2003,KMRT,24.85000
89757,11/08/2003,KMRT,24.42000
89757,12/08/2003,KMRT,23.90000
89757,13/08/2003,KMRT,24.05000
89757,14/08/2003,KMRT,24.40000
89757,15/08/2003,KMRT,24.42000
89757,18/08/2003,KMRT,24.38000
89757,19/08/2003,KMRT,24.50000
89757,20/08/2003,KMRT,24.40000
89757,21/08/2003,KMRT,26.30000
89757,22/08/2003,KMRT,28.25000
89757,25/08/2003,KMRT,28.50000
89757,26/08/2003,KMRT,28.60000
89757,27/08/2003,KMRT,28.70000
89757,28/08/2003,KMRT,29.44000
89757,29/08/2003,KMRT,30.67000
89757,02/09/2003,KMRT,29.13000
89757,03/09/2003,KMRT,29.65000
89757,04/09/2003,KMRT,29.68000
89757,05/09/2003,KMRT,30.05000
89757,08/09/2003,KMRT,29.47000
89757,09/09/2003,KMRT,28.20000
89757,10/09/2003,KMRT,27.99000
89757,11/09/2003,KMRT,27.96000
89757,12/09/2003,KMRT,27.23000
89757,15/09/2003,KMRT,27.00000
89757,16/09/2003,KMRT,26.80000
89757,17/09/2003,KMRT,27.48000
89757,18/09/2003,KMRT,27.46000
89757,19/09/2003,KMRT,27.25000
89757,22/09/2003,KMRT,26.20000
89757,23/09/2003,KMRT,27.15000
89757,24/09/2003,KMRT,26.49000
89757,25/09/2003,KMRT,25.75000
89757,26/09/2003,KMRT,25.49000
89757,29/09/2003,KMRT,25.72000
89757,30/09/2003,KMRT,24.93000
89757,01/10/2003,KMRT,25.68000
89757,02/10/2003,KMRT,24.78000
89757,03/10/2003,KMRT,25.25000
89757,06/10/2003,KMRT,25.25000
89757,07/10/2003,KMRT,25.20000
89757,08/10/2003,KMRT,25.80000
89757,09/10/2003,KMRT,28.55000
89757,10/10/2003,KMRT,29.80000
89757,13/10/2003,KMRT,30.50000
89757,14/10/2003,KMRT,30.53000
89757,15/10/2003,KMRT,30.02000
89757,16/10/2003,KMRT,29.99000
89757,17/10/2003,KMRT,28.49000
89757,20/10/2003,KMRT,28.11000
89757,21/10/2003,KMRT,28.14000
89757,22/10/2003,KMRT,28.00000
89757,23/10/2003,KMRT,27.25000
89757,24/10/2003,KMRT,27.00000
89757,27/10/2003,KMRT,26.44000
89757,28/10/2003,KMRT,27.75000
89757,29/10/2003,KMRT,27.79000
89757,30/10/2003,KMRT,28.00000
89757,31/10/2003,KMRT,28.99000
89757,03/11/2003,KMRT,28.25000
89757,04/11/2003,KMRT,28.45000
89757,05/11/2003,KMRT,27.54000
89757,06/11/2003,KMRT,28.23000
89757,07/11/2003,KMRT,29.58000
89757,10/11/2003,KMRT,29.70000
89757,11/11/2003,KMRT,29.74000
89757,12/11/2003,KMRT,29.79000
89757,13/11/2003,KMRT,29.55000
89757,14/11/2003,KMRT,30.00000
89757,17/11/2003,KMRT,29.40000
89757,18/11/2003,KMRT,29.02100
89757,19/11/2003,KMRT,29.33000
89757,20/11/2003,KMRT,29.14000
89757,21/11/2003,KMRT,28.56000
89757,24/11/2003,KMRT,30.00000
89757,25/11/2003,KMRT,29.99000
89757,26/11/2003,KMRT,29.00000
89757,28/11/2003,KMRT,30.44000
89757,01/12/2003,KMRT,32.71000
89757,02/12/2003,KMRT,32.58000
89757,03/12/2003,KMRT,32.74000
89757,04/12/2003,KMRT,31.30000
89757,05/12/2003,KMRT,29.40000
89757,08/12/2003,KMRT,27.36000
89757,09/12/2003,KMRT,26.25000
89757,10/12/2003,KMRT,25.91000
89757,11/12/2003,KMRT,25.20000
89757,12/12/2003,KMRT,25.00000
89757,15/12/2003,KMRT,24.00000
89757,16/12/2003,KMRT,24.91000
89757,17/12/2003,KMRT,25.40000
89757,18/12/2003,KMRT,26.94000
89757,19/12/2003,KMRT,26.95000
89757,22/12/2003,KMRT,26.46000
89757,23/12/2003,KMRT,25.26000
89757,24/12/2003,KMRT,24.70000
89757,26/12/2003,KMRT,23.50000
89757,29/12/2003,KMRT,23.40000
89757,30/12/2003,KMRT,23.31000
89757,31/12/2003,KMRT,23.95000
89757,02/01/2004,KMRT,23.00000
89757,05/01/2004,KMRT,29.12000
89757,06/01/2004,KMRT,30.00000
89757,07/01/2004,KMRT,29.15000
89757,08/01/2004,KMRT,30.34000
89757,09/01/2004,KMRT,30.19900
89757,12/01/2004,KMRT,30.75900
89757,13/01/2004,KMRT,30.05000
89757,14/01/2004,KMRT,30.00000
89757,15/01/2004,KMRT,29.39000
89757,16/01/2004,KMRT,29.88000
89757,20/01/2004,KMRT,29.55000
89757,21/01/2004,KMRT,30.25000
89757,22/01/2004,KMRT,29.50000
89757,23/01/2004,KMRT,29.65000
89757,26/01/2004,KMRT,28.98000
89757,27/01/2004,KMRT,28.85000
89757,28/01/2004,KMRT,28.10000
89757,29/01/2004,KMRT,28.00000
89757,30/01/2004,KMRT,27.66000
89757,02/02/2004,KMRT,27.47000
89757,03/02/2004,KMRT,26.63000
89757,04/02/2004,KMRT,26.52000
89757,05/02/2004,KMRT,26.68000
89757,06/02/2004,KMRT,28.80000
89757,09/02/2004,KMRT,28.80000
89757,10/02/2004,KMRT,28.71800
89757,11/02/2004,KMRT,29.97000
89757,12/02/2004,KMRT,29.70000
89757,13/02/2004,KMRT,28.73000
89757,17/02/2004,KMRT,29.90000
89757,18/02/2004,KMRT,30.62000
89757,19/02/2004,KMRT,30.01000
89757,20/02/2004,KMRT,30.10000
89757,23/02/2004,KMRT,30.03000
89757,24/02/2004,KMRT,29.05000
89757,25/02/2004,KMRT,28.74000
89757,26/02/2004,KMRT,29.00000
89757,27/02/2004,KMRT,30.00000
89757,01/03/2004,KMRT,30.06000
89757,02/03/2004,KMRT,30.95100
89757,03/03/2004,KMRT,32.68000
89757,04/03/2004,KMRT,32.90000
89757,05/03/2004,KMRT,32.51000
89757,08/03/2004,KMRT,32.95000
89757,09/03/2004,KMRT,34.30000
89757,10/03/2004,KMRT,34.93000
89757,11/03/2004,KMRT,34.30000
89757,12/03/2004,KMRT,34.07000
89757,15/03/2004,KMRT,33.18000
89757,16/03/2004,KMRT,33.82000
89757,17/03/2004,KMRT,34.68000
89757,18/03/2004,KMRT,37.06000
89757,19/03/2004,KMRT,38.13000
89757,22/03/2004,KMRT,37.46000
89757,23/03/2004,KMRT,36.70000
89757,24/03/2004,KMRT,37.00000
89757,25/03/2004,KMRT,37.97000
89757,26/03/2004,KMRT,38.65000
89757,29/03/2004,KMRT,40.00000
89757,30/03/2004,KMRT,41.84000
89757,31/03/2004,KMRT,41.48000
89757,01/04/2004,KMRT,41.74000
89757,02/04/2004,KMRT,46.25000
89757,05/04/2004,KMRT,46.15000
89757,06/04/2004,KMRT,45.43000
89757,07/04/2004,KMRT,45.27000
89757,08/04/2004,KMRT,45.00000
