"","sd.breaking.point","sp500.returns","Pr(>F)","Change in SD"
"d1",0.0125420116970794,0,0,0.0125420116970794
"d2",0.0175860769526962,0.0154308169753952,0.135655595902773,0.00215525997730094
"d3",0.0197033455339458,0.0179337695450605,0.0362014538498667,0.00176957598888524
"d4",0.0218580654143471,0.020879194270884,0.115237218071018,0.000978871143463057
"d5",0.0251197468904809,0.0229348094336575,0.0304896711572097,0.00218493745682343
"d6",0.0282331281070538,0.024527131717995,0.0440133037819708,0.00370599638905875
"d7",0.02724767912374,0.0263162815487419,0.248565769870246,0.000931397574998095
"d8",0.0265782668934613,0.0282992446745312,0.521493702488321,-0.00172097778106988
"d9",0.0271618634333263,0.0283392760912377,0.427086922221261,-0.00117741265791144
"d10",0.0307923358694236,0.0314076847343875,0.334343987349658,-0.000615348864963859
"d11",0.0292184184524464,0.0323393026302069,0.982207311214657,-0.00312088417776045
"d12",0.0305166862979026,0.0316503581864609,0.958057450229388,-0.00113367188855836
"d13",0.0316536009818558,0.0356849738499072,0.780802140310492,-0.00403137286805138
"d14",0.032297222299141,0.0334221579595925,0.871145014018159,-0.00112493566045148
"d15",0.0334442686828261,0.0368655587951604,0.912885205177931,-0.00342129011233428
"d16",0.0323276957845063,0.0379679437893459,0.540504040259416,-0.00564024800483966
"d17",0.0342834317605936,0.0374359447710794,0.954728507551072,-0.0031525130104858
"d18",0.0378855142997609,0.0390085059367333,0.712829367623575,-0.0011229916369724
"d19",0.0382829906569611,0.0417768511600589,0.947009677774707,-0.0034938605030977
"d20",0.0424871446867626,0.0426331374549377,0.826367057895982,-0.000145992768175104
"d21",0.0420335895479166,0.0440106463151108,0.975611002021769,-0.00197705676719415
"d22",0.0425752887930869,0.0422089286355268,0.81379679051477,0.000366360157560121
"d23",0.0434255119182956,0.0455609123305454,0.717070548058041,-0.0021354004122498
"d24",0.0439404683068305,0.0436065726780309,0.967244288179722,0.000333895628799603
"d25",0.0415535544017152,0.0438590423128832,0.465675835539284,-0.00230548791116804
"d26",0.045971313860372,0.0468294816294023,0.543337873254785,-0.000858167769030339
"d27",0.0454794333177032,0.0472597359698875,0.559044086541298,-0.00178030265218423
"d28",0.0477355336903195,0.0454934634390769,0.90017946158951,0.0022420702512426
"d29",0.0491604558963619,0.0468695171842307,0.72674804723295,0.00229093871213123
"d30",0.050239814600496,0.0503954032880265,0.611592907898823,-0.000155588687530475
"d31",0.0464767253199852,0.0475016920003236,0.601739767912358,-0.00102496668033839
"d32",0.0472123034483388,0.0518649742523108,0.736168172910449,-0.00465267080397196
"d33",0.0495588610956519,0.0541048932080502,0.733678930560048,-0.0045460321123983
"d34",0.0480403812915654,0.0531288583710419,0.740675259153284,-0.00508847707947653
"d35",0.0486467356811626,0.0508405225695053,0.783486830701284,-0.00219378688834276
"d36",0.0498955733393679,0.0549825120956299,0.709905142710048,-0.00508693875626198
"d37",0.0514700953395693,0.0510680756966815,0.635688375751443,0.000402019642887746
"d38",0.0523048674378004,0.0568743381976928,0.856219549920135,-0.00456947075989236
"d39",0.0515551240203908,0.0562509495759973,0.928688343902912,-0.00469582555560649
"d40",0.0540239392935168,0.0519197582948121,0.374423543635245,0.00210418099870462
"d41",0.054308608890901,0.0655809831561487,0.583059395623922,-0.0112723742652476
"d42",0.0563073106825872,0.0538659245019337,0.428216320085363,0.00244138618065353
"d43",0.0544966789436061,0.0588182669423619,0.967480188509411,-0.00432158799875583
"d44",0.0555980007989872,0.0542095756905963,0.491329546281234,0.00138842510839086
"d45",0.0568765875548252,0.0642009230763786,0.874479439826782,-0.00732433552155345
"d46",0.0575954922085272,0.0673229434297,0.612459741358548,-0.00972745122117285
"d47",0.05994792407039,0.0625623540605989,0.777899605070232,-0.0026144299902089
